Row.names	gene.symbol	description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000296	Tpd52l1	tumor protein D52-like 1 [Source:MGI Symbol;Acc:MGI:1298386]	3.35062920202289	0.205096958820531	1.24124950721597	0.165234272100979	0.868759590766206	NA
ENSMUSG00000000301	Pemt	phosphatidylethanolamine N-methyltransferase [Source:MGI Symbol;Acc:MGI:104535]	23.6075655895515	0.416827826570245	0.472675851632831	0.881847094854408	0.377859500012143	0.587856435716774
ENSMUSG00000000303	Cdh1	cadherin 1 [Source:MGI Symbol;Acc:MGI:88354]	57.186118270525	0.244977719435187	0.307731171040439	0.796077038952268	0.425987259007051	0.632662978908447
ENSMUSG00000000305	Cdh4	cadherin 4 [Source:MGI Symbol;Acc:MGI:99218]	0.20770243533911	-0.799684545080961	4.56209215174643	-0.175288994277512	0.860852559180934	NA
ENSMUSG00000000308	Ckmt1	creatine kinase, mitochondrial 1, ubiquitous [Source:MGI Symbol;Acc:MGI:99441]	0.594825532921907	-0.141219467176638	2.95271493906489	-0.047826989767377	0.961854126440743	NA
ENSMUSG00000000317	Bcl6b	B cell CLL/lymphoma 6, member B [Source:MGI Symbol;Acc:MGI:1278332]	5.51288838827253	-1.1305352394351	1.02502116627791	-1.10293843349629	0.270053902357795	NA
ENSMUSG00000000318	Clec10a	C-type lectin domain family 10, member A [Source:MGI Symbol;Acc:MGI:96975]	41.8155098916804	0.357730631126505	0.350496592761831	1.02063939711274	0.307425316658976	0.51806858918457
ENSMUSG00000000320	Alox12	arachidonate 12-lipoxygenase [Source:MGI Symbol;Acc:MGI:87998]	1.15308284699224	-0.196377560602636	2.09890016866864	-0.0935621253140402	0.925456997209054	NA
ENSMUSG00000000325	Arvcf	armadillo repeat gene deleted in velo-cardio-facial syndrome [Source:MGI Symbol;Acc:MGI:109620]	82.5096980354687	-0.301176122691679	0.261586237836863	-1.15134544226102	0.24959014920948	0.455001088273345
ENSMUSG00000000326	Comt	catechol-O-methyltransferase [Source:MGI Symbol;Acc:MGI:88470]	1510.83168447328	0.0275839064560405	0.0931946296675925	0.295981716483311	0.767244044288765	0.878641423371262
ENSMUSG00000000339	Rtca	RNA 3'-terminal phosphate cyclase [Source:MGI Symbol;Acc:MGI:1913618]	669.812376035117	-0.122627185457817	0.112470464421914	-1.09030567347709	0.275578516859865	0.484836882785917
ENSMUSG00000000340	Dbt	dihydrolipoamide branched chain transacylase E2 [Source:MGI Symbol;Acc:MGI:105386]	320.973241966377	0.0212600696918722	0.141336158850264	0.150422014188144	0.880431674058307	0.938870470788543
ENSMUSG00000000346	Dazap2	DAZ associated protein 2 [Source:MGI Symbol;Acc:MGI:1344344]	4541.62666261193	0.0916716389212216	0.0726732711935301	1.26142166735688	0.207156965890545	0.40256128160467
ENSMUSG00000000355	Mcts1	malignant T cell amplified sequence 1 [Source:MGI Symbol;Acc:MGI:1916245]	485.822932575859	0.325007677990213	0.121315357429999	2.67903161541396	0.00738354220451295	0.037718857830679
ENSMUSG00000000359	Rem1	rad and gem related GTP binding protein 1 [Source:MGI Symbol;Acc:MGI:1097696]	3.11458270999057	0.743159789212506	1.26692801084309	0.586584070169829	0.557483083894696	NA
ENSMUSG00000000365	Rnf17	ring finger protein 17 [Source:MGI Symbol;Acc:MGI:1353419]	0.541777142864029	0.0297564416209417	3.23672628407822	0.00919337596364469	0.992664850582655	NA
ENSMUSG00000000374	Trappc10	trafficking protein particle complex 10 [Source:MGI Symbol;Acc:MGI:1336209]	972.242358822227	-0.230882276753476	0.0974004610869345	-2.37044336522599	0.0177667656541987	0.0731776988055938
ENSMUSG00000000378	Ccm2	cerebral cavernous malformation 2 [Source:MGI Symbol;Acc:MGI:2384924]	1146.81868881252	-0.245815023518751	0.102408257031143	-2.40034378716158	0.0163796802960607	0.0692873678248853
ENSMUSG00000000381	Wap	whey acidic protein [Source:MGI Symbol;Acc:MGI:98943]	0.350554878731221	0.61002736056113	3.76932698336168	0.161839862461886	0.871431961111979	NA
ENSMUSG00000000384	Tbrg4	transforming growth factor beta regulated gene 4 [Source:MGI Symbol;Acc:MGI:1100868]	1112.96411746932	-0.333063110152512	0.0970246509168086	-3.43276793067866	0.000597453243284264	0.00551920064288509
ENSMUSG00000000385	Tmprss2	transmembrane protease, serine 2 [Source:MGI Symbol;Acc:MGI:1354381]	2.40520172512608	0.717415244014971	1.40290569048471	0.511378098243439	0.609086328057683	NA
ENSMUSG00000000386	Mx1	MX dynamin-like GTPase 1 [Source:MGI Symbol;Acc:MGI:97243]	82.823715153939	-0.200132091000082	0.256528856917203	-0.780154300787596	0.435300057641311	0.641667097372543
ENSMUSG00000000392	Fap	fibroblast activation protein [Source:MGI Symbol;Acc:MGI:109608]	32.4272910905453	-0.238892743183765	0.404621556637147	-0.59041032111395	0.554915592703319	0.738474379288909
ENSMUSG00000000394	Gcg	glucagon [Source:MGI Symbol;Acc:MGI:95674]	0.20770243533911	-0.799684545080961	4.56209215174643	-0.175288994277512	0.860852559180934	NA
ENSMUSG00000000399	Ndufa9	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9 [Source:MGI Symbol;Acc:MGI:1913358]	1589.9718941797	-0.211454830893944	0.101392945543042	-2.08549845121305	0.0370240785994732	0.124201269447586
ENSMUSG00000000409	Lck	lymphocyte protein tyrosine kinase [Source:MGI Symbol;Acc:MGI:96756]	80.8859837495912	1.73425104464687	0.278377127653259	6.22986183982405	4.66846699286538e-10	3.95328378548614e-08
ENSMUSG00000000411	Tssk3	testis-specific serine kinase 3 [Source:MGI Symbol;Acc:MGI:1929914]	1.3855518992938	0.414914229989374	1.90649093431703	0.217632416981835	0.827715524729165	NA
ENSMUSG00000000416	Cttnbp2	cortactin binding protein 2 [Source:MGI Symbol;Acc:MGI:1353467]	0.362356480620342	-1.63352783592086	3.69111877700826	-0.44255629108876	0.658086705822699	NA
ENSMUSG00000000420	Galnt1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 [Source:MGI Symbol;Acc:MGI:894693]	3968.06752737741	0.288168646742613	0.082237882670447	3.50408640622953	0.000458176667792583	0.00449393380220583
ENSMUSG00000000439	Mkrn2	makorin, ring finger protein, 2 [Source:MGI Symbol;Acc:MGI:1914277]	324.649810673753	-0.157703950359739	0.141420272271776	-1.11514387454063	0.264788772689129	0.472459742696496
ENSMUSG00000000440	Pparg	peroxisome proliferator activated receptor gamma [Source:MGI Symbol;Acc:MGI:97747]	5.84996909765904	0.94295530938436	0.935136366955738	1.00836128580271	0.313281051338537	NA
ENSMUSG00000000441	Raf1	v-raf-leukemia viral oncogene 1 [Source:MGI Symbol;Acc:MGI:97847]	714.634699358099	-0.306818863881665	0.107028413132793	-2.86670478334557	0.00414769719484023	0.0245400386190595
ENSMUSG00000000486	Sept1	septin 1 [Source:MGI Symbol;Acc:MGI:1858916]	69.1486205842027	1.2566043027145	0.278512023748592	4.51184938374083	6.42648176353335e-06	0.000142222356850319
ENSMUSG00000000489	Pdgfb	platelet derived growth factor, B polypeptide [Source:MGI Symbol;Acc:MGI:97528]	22.8593761660137	-0.567709218592612	0.497656735744483	-1.14076466330418	0.253967869321828	0.459682974396671
ENSMUSG00000000530	Acvrl1	activin A receptor, type II-like 1 [Source:MGI Symbol;Acc:MGI:1338946]	77.6024867692966	-0.685302644822136	0.268897892781873	-2.54856085978348	0.0108168411398863	0.0505366133562352
ENSMUSG00000000531	Grasp	GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein [Source:MGI Symbol;Acc:MGI:1860303]	195.939274012441	0.159125832889368	0.174317960325774	0.912848180371006	0.361322394474169	0.571312925080137
ENSMUSG00000000532	Acvr1b	activin A receptor, type 1B [Source:MGI Symbol;Acc:MGI:1338944]	569.975030234562	0.121206078603689	0.11645492256953	1.04079824132228	0.297969196460106	0.509663644414958
ENSMUSG00000000538	Tom1l2	target of myb1-like 2 (chicken) [Source:MGI Symbol;Acc:MGI:2443306]	885.162386584526	-0.290988738197126	0.104383294160647	-2.78769453040342	0.00530845725543752	0.0296932696205528
ENSMUSG00000000544	Gpa33	glycoprotein A33 (transmembrane) [Source:MGI Symbol;Acc:MGI:1891703]	1.19790707489175	-1.64643552190428	2.25178197963802	-0.73117004079096	0.46467529703864	NA
ENSMUSG00000000552	Zfp385a	zinc finger protein 385A [Source:MGI Symbol;Acc:MGI:1352495]	744.207047577746	-0.409578233844936	0.11320524695322	-3.61801457854852	0.000296871677843692	0.00322943345097502
ENSMUSG00000000555	Itga5	integrin alpha 5 (fibronectin receptor alpha) [Source:MGI Symbol;Acc:MGI:96604]	5432.16199687774	-0.230665008572501	0.0718516973132532	-3.21029310646437	0.00132599685846066	0.0103915203676538
ENSMUSG00000000560	Gabra2	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2 [Source:MGI Symbol;Acc:MGI:95614]	0.154654045281233	-0.799684545080961	4.56209215174643	-0.175288994277512	0.860852559180934	NA
ENSMUSG00000000561	Wdr77	WD repeat domain 77 [Source:MGI Symbol;Acc:MGI:1917715]	1263.10869888634	-0.137238503557453	0.0991017768331011	-1.38482384416355	0.166106338088595	0.351832670948816
ENSMUSG00000000562	Adora3	adenosine A3 receptor [Source:MGI Symbol;Acc:MGI:104847]	7.22142441558488	-0.426907586054668	0.887279892567572	-0.481141959409562	0.630415608282623	NA
ENSMUSG00000000563	Atp5f1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1 [Source:MGI Symbol;Acc:MGI:1100495]	2514.76165894729	0.126252200525867	0.0907574683438874	1.39109433999952	0.164196821000397	0.348815494644025
ENSMUSG00000000567	Sox9	SRY (sex determining region Y)-box 9 [Source:MGI Symbol;Acc:MGI:98371]	245.487948429763	0.858380417983042	0.160140033888372	5.36018631406929	8.31361660805925e-08	3.8111368766419e-06
ENSMUSG00000000568	Hnrnpd	heterogeneous nuclear ribonucleoprotein D [Source:MGI Symbol;Acc:MGI:101947]	3937.608089235	0.399926350019144	0.0929251195910902	4.30374856420943	1.6793224222949e-05	0.00031121060208912
ENSMUSG00000000579	Dynlt1c	dynein light chain Tctex-type 1C [Source:MGI Symbol;Acc:MGI:3807476]	49.6143231491196	-0.136960741552374	0.387602650408157	-0.353353470127593	0.723823464148146	0.851138218112102
ENSMUSG00000000581	C1d	C1D nuclear receptor co-repressor [Source:MGI Symbol;Acc:MGI:1927354]	729.254502503412	0.398234956120963	0.116541082062752	3.41712080471788	0.00063287189904121	0.00577637719828481
ENSMUSG00000000594	Gm2a	GM2 ganglioside activator protein [Source:MGI Symbol;Acc:MGI:95762]	573.593308626016	-0.503623051921619	0.11560540333409	-4.35639717000243	1.32220765754976e-05	0.000257625671792857
ENSMUSG00000000600	Krit1	KRIT1, ankyrin repeat containing [Source:MGI Symbol;Acc:MGI:1930618]	622.164464669136	0.136545904890076	0.125751662737654	1.08583776880104	0.277550773345257	0.486761704325049
ENSMUSG00000000605	Clcn4-2	chloride channel 4-2 [Source:MGI Symbol;Acc:MGI:104571]	786.176864988585	0.194248048102496	0.107694039098987	1.80370287647911	0.0712778983809952	0.196865842096909
ENSMUSG00000000617	Grm6	glutamate receptor, metabotropic 6 [Source:MGI Symbol;Acc:MGI:1351343]	0.803676163091121	2.12822532548013	2.69987999640427	0.788266637152214	0.430540758239828	NA
ENSMUSG00000000627	Sema4f	sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain [Source:MGI Symbol;Acc:MGI:1340055]	4.98141250591271	0.443512158617936	1.02134156748854	0.43424469612896	0.66411075918521	NA
ENSMUSG00000000628	Hk2	hexokinase 2 [Source:MGI Symbol;Acc:MGI:1315197]	4154.91847578685	0.566665426439177	0.0872219762050722	6.49681939224651	8.20358467233404e-11	8.13288711336922e-09
ENSMUSG00000000631	Myo18a	myosin XVIIIA [Source:MGI Symbol;Acc:MGI:2667185]	1803.0001102008	-0.275862118215363	0.0915402722927718	-3.01356016653607	0.00258201837390625	0.0172426791081122
ENSMUSG00000000632	Sez6	seizure related gene 6 [Source:MGI Symbol;Acc:MGI:104745]	6.31054264837812	0.309424722748618	0.957675412686782	0.323099787933909	0.746619670860538	NA
ENSMUSG00000000673	Haao	3-hydroxyanthranilate 3,4-dioxygenase [Source:MGI Symbol;Acc:MGI:1349444]	13.6679849275588	-0.248607175806431	0.609051997241246	-0.408187111991289	0.683136309328477	0.825013781910612
ENSMUSG00000000682	Cd52	CD52 antigen [Source:MGI Symbol;Acc:MGI:1346088]	326.780796590945	0.0342403112274951	0.152017103227481	0.225239861177049	0.821792681317358	0.907693836592741
ENSMUSG00000000686	Abhd15	abhydrolase domain containing 15 [Source:MGI Symbol;Acc:MGI:1914727]	10.7905346208329	-0.526351509327356	0.706659209890323	-0.744844901135652	0.456365487229472	0.66021126483286
ENSMUSG00000000690	Hoxb6	homeobox B6 [Source:MGI Symbol;Acc:MGI:96187]	15.4869920176605	-0.0748883025953668	0.597111942255532	-0.125417526088129	0.900193013853	0.950399934118174
ENSMUSG00000000693	Loxl3	lysyl oxidase-like 3 [Source:MGI Symbol;Acc:MGI:1337004]	3651.90070504523	-0.0663392167421432	0.0764887227845543	-0.867307157540083	0.385773736005651	0.595458852766192
ENSMUSG00000000706	Btn1a1	butyrophilin, subfamily 1, member A1 [Source:MGI Symbol;Acc:MGI:103118]	2.75933404358806	-0.15638936590729	1.35551278524323	-0.115372844586802	0.908149602090274	NA
ENSMUSG00000000708	Kat2b	K(lysine) acetyltransferase 2B [Source:MGI Symbol;Acc:MGI:1343094]	769.636919845679	0.223019196310158	0.104375279924983	2.13670513238811	0.0326219823066919	0.113752488489506
ENSMUSG00000000711	Rab5b	RAB5B, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:105938]	1739.73073512618	-0.305685794020231	0.0837949125045935	-3.64802330933245	0.000264265667842879	0.00293150708625261
ENSMUSG00000000724	Cryba1	crystallin, beta A1 [Source:MGI Symbol;Acc:MGI:88518]	2.56095689999373	1.91140228856933	1.47612040657237	1.29488236871388	0.195360811593429	NA
ENSMUSG00000000730	Dnmt3l	DNA (cytosine-5-)-methyltransferase 3-like [Source:MGI Symbol;Acc:MGI:1859287]	12.4417808612175	-0.144813384466302	0.632901703108879	-0.228808650308514	0.819017643161182	0.9066305826497
ENSMUSG00000000731	Aire	autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy) [Source:MGI Symbol;Acc:MGI:1338803]	23.8337928539217	0.74183733682019	0.460052594356936	1.61250549593603	0.106851984944582	0.262586276584892
ENSMUSG00000000732	Icosl	icos ligand [Source:MGI Symbol;Acc:MGI:1354701]	62.290593546105	-0.171122519433262	0.29283920659134	-0.584356587443105	0.558980427913179	0.74073107345939
ENSMUSG00000000738	Spg7	spastic paraplegia 7 homolog (human) [Source:MGI Symbol;Acc:MGI:2385906]	2212.22089151567	-0.126855906740389	0.0814217869862918	-1.55800936623691	0.119231027848592	0.283025725829421
ENSMUSG00000000739	Sult5a1	sulfotransferase family 5A, member 1 [Source:MGI Symbol;Acc:MGI:1931463]	1.10361189666512	-3.23548171451407	2.35864924777644	-1.37175195403227	0.170140668809527	NA
ENSMUSG00000000740	Rpl13	ribosomal protein L13 [Source:MGI Symbol;Acc:MGI:105922]	1673.68301693069	0.176458879103819	0.133010629449154	1.32665246254829	0.184623672894563	0.375467155983372
ENSMUSG00000000743	Chmp1a	charged multivesicular body protein 1A [Source:MGI Symbol;Acc:MGI:1920159]	2740.52968728651	-0.322510226059483	0.0816312843251125	-3.95081651263776	7.78850208468432e-05	0.00109415892189678
ENSMUSG00000000751	Rpa1	replication protein A1 [Source:MGI Symbol;Acc:MGI:1915525]	3113.85687876389	-0.169798171133045	0.0774043153414098	-2.19365251645351	0.0282603998875781	0.102266738915649
ENSMUSG00000000753	Serpinf1	serine (or cysteine) peptidase inhibitor, clade F, member 1 [Source:MGI Symbol;Acc:MGI:108080]	5845.21083970608	-0.321903861087519	0.0767149371173105	-4.19610408590014	2.71545492072349e-05	0.000467027606534587
ENSMUSG00000000759	Tubgcp3	tubulin, gamma complex associated protein 3 [Source:MGI Symbol;Acc:MGI:2183752]	889.6021925191	0.083965026539716	0.101574126444804	0.826637938996629	0.408442306926285	0.617167966624426
ENSMUSG00000000766	Oprm1	opioid receptor, mu 1 [Source:MGI Symbol;Acc:MGI:97441]	0.154654045281233	-0.799684545080961	4.56209215174643	-0.175288994277512	0.860852559180934	NA
ENSMUSG00000000776	Polr3d	polymerase (RNA) III (DNA directed) polypeptide D [Source:MGI Symbol;Acc:MGI:1914315]	869.535917557263	-0.0142709544081116	0.102279852632666	-0.139528499902764	0.88903253653857	0.943586278227115
ENSMUSG00000000782	Tcf7	transcription factor 7, T cell specific [Source:MGI Symbol;Acc:MGI:98507]	49.6876536399231	1.12411835311101	0.323626423530665	3.47350609028527	0.000513705704713786	0.00488443416961869
ENSMUSG00000000787	Ddx3x	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked [Source:MGI Symbol;Acc:MGI:103064]	5843.16571045166	0.0355243462959586	0.0861083948906105	0.412553808964709	0.679933549414437	0.823756552564296
ENSMUSG00000000791	Il12rb1	interleukin 12 receptor, beta 1 [Source:MGI Symbol;Acc:MGI:104579]	89.4093361342836	0.289787539526688	0.250724603238596	1.15580017191579	0.247762902715338	0.45309748035411
ENSMUSG00000000792	Slc5a5	solute carrier family 5 (sodium iodide symporter), member 5 [Source:MGI Symbol;Acc:MGI:2149330]	22.5604067029729	0.448444188331389	0.471686110150179	0.950725871890971	0.341743551132752	0.552461999537688
ENSMUSG00000000794	Kcnn3	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3 [Source:MGI Symbol;Acc:MGI:2153183]	0.986627199821883	1.35167884733219	2.22460730855217	0.607603347402422	0.543450580169369	NA
ENSMUSG00000000804	Usp32	ubiquitin specific peptidase 32 [Source:MGI Symbol;Acc:MGI:2144475]	878.506468920945	-0.0595592736072299	0.11919772658649	-0.499667865427059	0.61730896300141	0.779986037958149
ENSMUSG00000000805	Car4	carbonic anhydrase 4 [Source:MGI Symbol;Acc:MGI:1096574]	1.63097074831459	1.46773608121581	1.71694098585134	0.854855288161251	0.392631265901874	NA
ENSMUSG00000000811	Txnrd3	thioredoxin reductase 3 [Source:MGI Symbol;Acc:MGI:2386711]	244.248423779609	0.0237232735452148	0.157522672191409	0.150602279755565	0.880289462921673	0.938800919264202
ENSMUSG00000000817	Fasl	Fas ligand (TNF superfamily, member 6) [Source:MGI Symbol;Acc:MGI:99255]	9.80690372464636	2.00013179062959	0.74302376816585	2.69188130491021	0.00710502269525035	0.0368675092535671
ENSMUSG00000000823	Znf512b	zinc finger protein 512B [Source:MGI Symbol;Acc:MGI:2685478]	1330.74520874361	-0.177796539739152	0.0964516678447009	-1.84337444558684	0.0652743584960299	0.184890947154608
